莽荒纪	正文 第四十五卷 第十七章 梅花香（大结局下）	我吃西红柿	11143K	15-04-10	已完成
大明武夫	第一卷 大汉太祖赵进研究（5）（完本，内有完本感言和新书计划）	特别白	12225K	16-10-24	已完成
武道至尊	正文 第三百七十七章 终篇（下）这个世界，很疯	暗夜幽殇	41734K	16-11-01	已完成
魔天记	第一卷 蛮鬼风云 第七卷原始轮回 1552闻啼顿悟	忘语	11538K	16-01-05	已完成
武神风暴	正文 第2648章 明暗双子（大结局）	实验小白鼠	17393K	15-11-29	已完成
宝鉴	正文 第一千二百三十六章 天堂岛（大结局）	打眼	9624K	15-08-03	已完成
武极天下	武极天下5200 正文 武极后传（二） 两个心愿	蚕茧里的牛	16930K	16-11-16	已完成
官道无疆	第一卷 恰同学少年 官道无疆大结局（8）	瑞根	21923K	16-12-30	已完成
电影大师	正文 第648章 别多想了，现在也挺好的	机器人瓦力	6851K	16-08-26	已完成
万古至尊	第三卷 第2406章 千载风云尽付一笑（大结局）	太一生水	19375K	16-07-25	已完成
剑动山河	第一卷神剑轻云 第一七七四章 无法无天	开荒	11163K	16-01-31	已完成
灵域	正文 第一千八百四十一章 开启新时代！	逆苍天	12273K	16-09-24	已完成
我欲封天	正文 第十卷 我看沧海化桑田 第1614章 孤帆一片日边来！（终）	耳根	11498K	16-02-08	已完成
仙路争锋	第一部 仙门难进 第一百三十三章 尾声（大结局）	缘分0	11069K	16-10-10	已完成
一代天骄	正文 番外：团圆之日	一起成功	23940K	15-11-09	已完成
三界独尊	第一卷 新书发布通知 番外小文	犁天	16050K	16-06-06	已完成
英雄联盟之谁与争锋	第一卷 第1327章 我跟她，早就认识	乱	8346K	15-05-23	已完成
冠军之光	第三卷沙洲传奇 后记 第八次再见	林海听涛	10552K	15-08-27	已完成
贴身医王	第一卷 第1658章 后记	夜独醉	11632K	15-08-01	已完成
匹夫的逆袭	第二卷 后记	骁骑校	5442K	15-06-05	已完成
主宰之王	第一卷尘埃之地 第1585章 团圆（新书已发布）	快餐店	13360K	15-11-11	已完成
大官人	第二卷钱塘春潮图 最终章 盛世曙光	三戒大师	8759K	16-11-05	已完成
异世灵武天下	 后续五：大结局终章	禹枫	28031K	14-08-24	已完成
不死武尊	 ：番外之神魔大战	妖月夜	22728K	16-08-31	已完成
傲世九重天	傲世九重天 第八部 独裁苍穹 完本感言！（跟大家说说话儿（三））	风凌天下	22848K	14-09-07	已完成
绝世武神	正文 第2500章 大结局	净无痕	15560K	15-10-05	已完成
恋战星梦	正文 第二百章 恋战星梦	韩错	21693K	16-11-17	已完成
疯巫妖的实验日志	正文 番外 第四章 简单任务：寻找走丢的母亲	愤怒的松鼠	7223K	16-12-29	已完成
最强弃少	第一卷 新书消息	鹅是老五	17047K	14-05-20	已完成
大荒蛮神	降临蛮荒 第一百六十九章 再续前缘（全书完）	更俗	8021K	16-03-27	已完成
超级贴身保镖	正文 第两千八百一十八章 剧终，开始	东方小少	13598K	16-10-12	已完成
雪中悍刀行	 最终章 小二上酒	烽火戏诸侯	10261K	16-08-31	已完成
原始战记	正文 插播新书广告	陈词懒调	5548K	16-12-09	已完成
极品修真强少	正文 第1558章 T08暑假	鱼人二代	9231K	16-11-16	已完成
仙城之王	正文 1302 仙界（大结局）	百里玺	9409K	16-12-17	已完成
终极教师	第一卷、女神攻略！ 第858章、春去春又来！（以及完本感言感谢反击！）	柳下挥	6163K	15-11-03	已完成
太浩	第一卷鲲鱼篇 同人：如果没有梦蝶的世界34	无极书虫	9817K	16-05-21	已完成
公子风流	正文 完本感言	上山打老虎额	6596K	15-08-14	已完成
超能战神	正文 第1673章 幸福与真相（终）	古剑锋	8199K	16-06-05	已完成
从前有座灵剑山	第一卷升仙大会 第七十七章：再见	国王陛下	6428K	15-07-26	已完成
盛唐风月	第一卷当时年少青衫薄 后记	府天	9167K	15-05-04	已完成
九星天辰诀	正文 结后感言	发飙的蜗牛	7289K	14-04-25	已完成
魔装	第一卷 第一一八三章 终章	撞破南墙	7696K	15-07-31	已完成
天骄无双	正文 第五百八十一章 那个红头发的男人	跳舞	7934K	16-11-16	已完成
贞观攻略	正文 一千 我有一个梦想（大结局）	御炎	7781K	16-11-16	已完成
觅仙	第一卷匡庐四圣 第一千六百章 大结局之三道天庭	何不语	13210K	16-02-07	已完成
混世小术士	正文 2432 大结局	水冷酒家	11341K	15-02-17	已完成
天择	承之卷：妖脉变 终章（叁）	卷土	11418K	16-03-05	已完成
超级创作大师	第二节神话时代 第一千六百六十二章 炎黄联盟（大结局）	普顿	10365K	16-05-14	已完成
剑道独尊	第一卷 第一卷 林奇篇 中	剑游太虚	10947K	15-10-24	已完成
土豪系统	正文 完本感言	单纯宅男	4156K	16-11-16	已完成
苗疆道事	第一卷 饥饿年代 大结局：嘴唇很软，泪水很咸	南无袈裟理科佛	7520K	15-08-14	已完成
红缨记	正文 尾声（大结局）	东郊林公子	7130K	16-11-16	已完成
械医	正文 完本感言	完颜小白	8645K	15-06-15	已完成
中华第四帝国	正文 第一千五百二十六章 万世帝国（大结局）	流泪的鱼wyj	9993K	14-04-30	已完成
我的女友是丧尸	正文 第一千三百六十二章 未来总是未知数	黑暗荔枝	8846K	15-07-01	已完成
我们是兄弟	我们是兄弟章 节目录 大结局以及完本感言	纯银耳坠	14615K	14-09-06	已完成
无限之地球人的逆袭	第一卷 迷雾的世界 完本感言	干煸鱿鱼须	10100K	15-08-27	已完成
低调术士	正文 778章 我入归真！	短刀	6461K	15-10-26	已完成
美女请留步	正文 第六章 香饽饽	老施	13800K	15-05-11	已完成
阿拉德之剑	第一卷 三人行 第八百三十九章 比翼连枝当日愿（大结局）	时间的守护者	6284K	15-04-05	已完成
仙魔道典	第一卷 入世 第871章 完本感言	坏坏无极	5419K	14-12-19	已完成
戮仙	正文 第四百四十七章 尾声	萧鼎	5673K	16-05-23	已完成
升邪	第二卷 耀世天灵 小小少年，多可爱（完本感言）	豆子惹的祸	11814K	16-11-16	已完成
醉枕江山	正文 第八十三章 倾国倾城世无双	月关	10531K	15-04-28	已完成
傲世武皇	正文 第1026章 人族大帝（下）（大结局）	曾经拥有的方向感	6758K	16-11-20	已完成
妙医圣手	第一卷 第九百五十三章 既已成仙，何必登天？	五志	5983K	14-11-25	已完成
龙骑战机	龙骑战机第十八卷 完本手记	华表	10627K	13-12-03	已完成
统御万界	正文 第四四八章 开创（终章）	石三	6235K	16-04-30	已完成
透视之眼	正文 完本感言	星辉1	11319K	15-09-19	已完成
足球豪门	正文 最终章 属于他的传奇！	陈爱庭	9483K	16-03-11	已完成
王牌	正文 第八百八十七章 永不结束	虾写	5721K	14-11-16	已完成
玄门高手在都市	正文 第1314章 我要和我的朋友们在一起	五志	6330K	16-07-19	已完成
抗日之我为战神	正文 第二十二章 倒计时	风雪云中路	15591K	15-10-10	已完成
只手遮仙	第三卷虚空路上有神灵 第889 以身化轮回，以血化黄泉（大结局）	我本幕辰	4385K	14-10-13	已完成
战神	第八卷 第三十章 永恒传奇（大结局）	踏雪真人	6687K	15-01-22	已完成
创世至尊	第十六卷 第036章 菲利普家族	石三	6371K	15-06-16	已完成
官仙	官仙5200 正文 完本感言（下）	陈风笑	30816K	14-03-11	已完成
官场之风流人生	正文 第一千零三十五章 终章	更俗	8832K	14-05-13	已完成
胜者为王	第三卷 勇气与力量之城 后记 新十年，新征程，我们再出发！	林海听涛	12856K	13-12-21	已完成
网游之诡影盗贼	正文 后记：结束，也是开始！	尘缘暗殇	14306K	16-02-17	已完成
兵临天下	第二卷江夏 第1131章定鼎天下（全书完）	高月	8386K	14-12-22	已完成
东方好莱坞	第一卷 第六百三十章 尾声	一品黄山	4763K	16-01-25	已完成
洪荒道命	正文 第一千零八章 一个时代的落幕（大结局）	心如磐石	4919K	14-01-02	已完成
武动乾坤	第一卷 第一千三百零七章 我要把你找回来【大结局！】	天蚕土豆	11919K	14-02-10	已完成
神控天下	正文 第1740章 完本感言！！！	我本纯洁	15738K	15-07-08	已完成
无敌相师	正文 完本感言	林天	8729K	15-09-18	已完成
极品唐医	正文 第二百三十八章 保护腾云城	午夜冷风	8206K	16-09-22	已完成
网游之天下第一	正文 第51节 割喉	火神	12604K	15-10-01	已完成
超级能源强国	正文 第六百六十六章尾声	志鸟村	5737K	14-05-06	已完成
八云家的大少爷	第二卷·是男人就上100层 番外第16章 真的完结啦（全文完）	八云家的夜鸦	4798K	16-03-06	已完成
大逆转1906	正文 第７２７章 星辰大海，文明升华（大结局）	神圣智狼	6230K	16-06-19	已完成
大唐第一庄	第一卷 初到大唐 后记	晨风天堂	6516K	14-07-16	已完成
校园修仙	正文 第两千一百七十四章 征战（完结）	无言123	15775K	15-12-16	已完成
泡妞低手	正文 巫殇篇【25】（终）	青狐妖	12101K	15-08-07	已完成
丹武	第三十二卷 天门权杖 第七百七十九章 终章	寒香寂寞	11416K	16-06-01	已完成
天书奇谭	第十九卷蓬莱 第十四卷 岁月第二章 食仙	楚白	7124K	14-12-22	已完成
苗疆蛊事	终章之终极一战 完本感言	南无袈裟理科佛	9862K	14-06-08	已完成
成神	正文 《成神》大结局【全本完】！	梦游居士	21571K	14-03-05	已完成
龙组特工	【第一卷&#xB7;龙在江湖】 第3150章 终结（下）	Sky威天下	14886K	15-10-29	已完成
重生之我为神兽	第十卷冰宇大世界 第二十九章 真正的天道（大结局下）	打死都要钱	6652K	15-03-31	已完成
帝凰之神医弃妃	正文 凤战与陆与沫（一）	阿彩	11786K	14-07-30	已完成
光明纪元	正文 第四百二十九章 金舵家族	血红	17766K	15-10-17	已完成
房术	正文 完本感言和新书！	跑盘	4709K	14-04-13	已完成
天才相师	正文 第九百三十八章 破碎虚空	打眼	6291K	14-05-15	已完成
独医无二	第一卷 云城风云 第八百一十一章 大结局	笑论语	5536K	14-09-08	已完成
罪恶之城	卷六 若烟火般绚 完本感言	烟雨江南	10240K	14-10-16	已完成
武侠世界大拯救	正文 完本感言	殊彦	4325K	16-06-14	已完成
请回答二零一四	正文 完本感言	回锅豆腐	5645K	16-11-16	已完成
超神猎人	正文 第九百三十一章 大结局	不是浮云	6324K	16-11-16	已完成
机甲天王	第一卷 第1034章 改天换地（完）	古剑锋	7338K	14-09-23	已完成
求魔	第一卷 人生若只如初见 新书公告	耳根	12138K	15-09-01	已完成
龙起洪荒	第四卷：巫妖时代 第二百三十章 ：龙起洪荒（收官）	沧海之心	12989K	16-05-11	已完成
人生宛若梦幻	正文 后记	李北羽	6369K	16-11-16	已完成
遮天	正文 我的新书《完美世界》已上传，请兄弟姐妹来观看	辰东	16605K	13-08-16	已完成
大漫画	正文 第一一三六章：她的世界（大结局）	三月一	7764K	16-04-30	已完成
狂仙	初涉仙界 第一千二百五十二章 一梦千年（大结局）	陈风笑	9174K	16-05-27	已完成
战神无敌	正文 第七百八十三章 这是我的天地（大结局）	胜己	5356K	15-10-31	已完成
宠魅	正文 后记第一章 它在某个时空	鱼的天空	14867K	13-09-30	已完成
绿茵教父	第一卷 最终章 今夜之后，再无传奇！	陈爱庭	9565K	15-01-08	已完成
我的盗墓生涯	第六卷 西域惊梦 第一四零三章 我的盗墓生涯（大结局）	道门老九	7473K	15-12-18	已完成
炼神领域	正文 第一千二百九十一章 大结局	失落叶	9409K	16-07-20	已完成
重生之娱乐风暴	第一卷 起航 第九百三十六章 化凡重生（大结局）	葆星	8730K	16-10-27	已完成
冰火破坏神	正文 完本感言和新书消息	无罪	5340K	14-08-17	已完成
紫阳	正文 第五百八十章 天地	风御九秋	4192K	15-12-08	已完成
我的影子是食神	第一卷 厨王争霸 后记	李家大儿	4856K	16-07-02	已完成
我的岳父大人叫吕布	一不小心救了吕布 第九百五十七大结局	大哥有枪	9788K	16-11-16	已完成
文艺时代	正文 番外之重生的正确打开方式	睡觉会变白	6278K	16-11-02	已完成
剑圣	正文 后记，有几个人物的小小交待	蒙白	4107K	16-11-16	已完成
黄金牧场	正文 第一千零六十一章 全球大地主【大结局】	卖萌无敌小小宝	5348K	16-10-14	已完成
天地霸气诀	正文 完本感言	我丑到灵魂深处	9594K	13-07-31	已完成
无上神通	第一卷 第九百三十三章 大结局之秦政的武脉！	傲天无痕	6880K	14-07-31	已完成
永镇仙魔	第一卷 改运神腾 第九百八十八章 我无处不在【大结局】	知白	7396K	16-06-27	已完成
我叫丁春秋	正文 第三百一十章 大结局（内附道歉信！）	巨龙的时空	2402K	14-12-15	已完成
声色	正文 第一一〇四章 梦想归处【全书完】	皂白	10392K	16-11-16	已完成
电影之王	第一卷 烂片终结者 第十五章 终章 .人类之敌	子爪	3490K	15-03-21	已完成
超级无敌召唤空间	正文 第七百二十章 大结局及结束感言	我是小小泽	4569K	15-12-02	已完成
唐朝小官人	正文 第四百五十二章：定鼎天下（大结局）全书完	上山打老虎额	4377K	16-07-18	已完成
人皇经	正文 后记	空神	8983K	14-03-24	已完成
重生之大英雄	正文 结尾感言	沧海煮成酒	3189K	16-02-17	已完成
养妖记	第一卷下燕村正 第九零九章：大结局	君不见	7069K	15-05-09	已完成
医道官途	医道官途开疆拓土 第一千二百八十六章【后记】（下）	石章鱼	25808K	13-10-21	已完成
梦幻兑换系统	正文 第一千一百四十九章 完结	墨梦尘	6838K	14-11-04	已完成
不良之年少轻狂	正文 完结感言（本章公告免费）	抚琴的人	6761K	13-10-20	已完成
武临九霄	武临九霄 武临九霄第四卷 264.第264章 以我之名，冠你之姓	么么	9349K	16-09-22	已完成
圣堂	正文 九百七十六 另一个开始（大结局）	骷髅精灵	8391K	14-01-20	已完成
绝代武神	正文 告别2014，迎来2015！！！！	庚新	4395K	15-02-19	已完成
站在食物链顶端的男人	卷二 进击的逗比 第724章 离开五维空间	大笨淡	5047K	16-11-16	已完成
赤色黎明	赤色黎明 群党并起 161 升旗	绯红之月	10272K	14-04-18	已完成
进击的大内密探	第三卷 西行平“妖”记 第六百零九章 一切都是算计（大结局）	剑舞秀	4654K	16-11-20	已完成
黑道邪途	正文 第1338章 婧衣现，大结局！！	影独醉	7024K	14-02-28	已完成
江山国色	第三卷 太行山 后记	幸福来敲门	5513K	16-11-16	已完成
萌萌山海经	第二卷青龙鸣 十年，让我们再一起启程	肥面包	9874K	16-08-08	已完成
杀神	正文 第一千六百零八章 永恒不朽（全书终）	逆苍天	13671K	13-04-08	已完成
火爆天王	第一卷、谁家有男初长成！ 第933章、满月（3）！	柳下挥	8380K	14-12-03	已完成
三国第一强兵	卷一 男儿生乱世，乱世当称雄 完本感言	鲈州鱼	8007K	14-05-04	已完成
我的美女总裁老婆	正文 第1665章 【后记】	霉干菜烧饼	11057K	14-04-07	已完成
